#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Void Rat,1,1,1,Minion,Beast,Rare,DEPLOY,DEPLOY: Add a random card to your hand.,Brings surprises. Not always good surprises.,
2,Clockwork Prodigy,1,1,2,Minion,Mech,Rare,,Gains +1/+1 for each Mech you play this game.,Starts small. Remembers EVERYTHING.,
3,Star Channeler,1,0,3,Minion,,Rare,,Your spells cost (1) less.,Zero attack. Maximum discount. Fragile genius.,
4,Phase Imp,1,1,1,Minion,,Rare,"PHASE, DEPLOY",PHASE. DEPLOY: Deal 1 damage.,Tiny. Untargetable. Annoying beyond its size.,
5,Cosmic Inventor,2,2,3,Minion,,Rare,DEPLOY,DEPLOY: Add a random Legendary minion to your hand. It costs (2) more.,Invents Legendaries. Charges extra.,
6,Bloodfang Hunter,2,3,2,Minion,Beast,Rare,DRAIN,DRAIN.,Bites for 3. Heals for 3. Every turn.,
7,Mirror Entity,2,1,1,Minion,,Rare,DEPLOY,DEPLOY: Become a copy of a random enemy minion.,"Whatever they have, you have too. But cheaper.",
8,Mana Thief,2,2,2,Minion,,Rare,DEPLOY,DEPLOY: Your opponent loses 1 Crystal next turn.,Steals mana. It's a living.,
9,Shielded Construct,2,2,3,Minion,Mech,Rare,"BARRIER, GUARDIAN",BARRIER. GUARDIAN.,Small but defensive perfection.,
10,Echo Wisp,2,2,1,Minion,Elemental,Rare,"ECHO, DEPLOY",ECHO. DEPLOY: Deal 1 damage to all enemies.,Ping. Ping again. Two tiny explosions.,
11,Cosmic Curator,3,2,4,Minion,,Rare,DEPLOY,"DEPLOY: Draw a Mech, a Beast, and an Elemental from your deck.",Curates your collection. Draws your tribes.,
12,Starweaver,3,3,3,Minion,,Rare,DEPLOY,DEPLOY: Discover a spell. It costs (1) less.,Weaves stars into discount spells. Talented.,
13,Ironjaw Enforcer,3,3,4,Minion,,Rare,GUARDIAN,GUARDIAN. Takes 1 less damage from all sources.,Hard jaw. Harder to kill. Hardest to get past.,
14,Spell Eater,3,3,3,Minion,,Rare,,Gains +2/+2 whenever your opponent casts a spell.,Their spells feed it. Cast wisely.,
15,Shadow Dancer,3,3,2,Minion,,Rare,"CLOAK, SWIFT","CLOAK. SWIFT. Whenever this attacks, gain CLOAK again.",Hits. Vanishes. Hits again. Repeat forever.,
16,Graveyard Tender,3,2,4,Minion,,Rare,,LAST WORDS: Summon 2 random minions that died this game that cost (2) or less.,Tends graves. Graves tend to open back up.,
17,Mutagenic Slime,3,2,2,Minion,,Rare,"ADAPT, ADAPT",ADAPT. ADAPT.,Pick two bonuses. On a 3-cost body. Flexible AND cheap.,
18,Cosmic Informant,3,3,3,Minion,,Rare,DEPLOY,DEPLOY: Look at your opponent's hand.,Knowledge is power. Seeing their hand is MORE power.,
19,War Machine Mk II,4,4,4,Minion,Mech,Rare,"SWIFT, DEPLOY",SWIFT. DEPLOY: Deal 2 damage.,Arrives. Shoots. Charges. The premium 4-drop.,
20,Eldritch Horror,4,4,4,Minion,,Rare,,"Whenever this attacks, both players discard a random card.",Mutual destruction. But YOU built for it.,
21,Phoenix Hatchling,4,3,3,Minion,Elemental,Rare,BARRIER,BARRIER. LAST WORDS: Return this to your hand.,Shielded. Recursive. Annoying. Perfect.,
22,Cosmic Tinkerer,4,3,4,Minion,,Rare,DEPLOY,DEPLOY: Transform a card in your hand into one that costs (2) more.,Upgrades your cards. Randomly. Excitingly.,
23,Abyssal Hunter,4,5,3,Minion,,Rare,"CLOAK, LETHAL",CLOAK. LETHAL.,Invisible. Venomous. Extremely problematic.,
24,Mystic Sage,4,3,5,Minion,,Rare,DEPLOY,DEPLOY: SCRY (3). Draw a card.,Arranges the future. Takes a card from it.,
25,Starborne Sentinel,4,4,5,Minion,,Rare,BARRIER,BARRIER.,Premium stats. Premium shield. Premium 4-drop.,
26,Swarm Commander,4,3,3,Minion,,Rare,DEPLOY,DEPLOY: Summon three 1/1 Recruits.,One commander. Three recruits. Instant army.,
27,Cosmic Executioner,5,5,5,Minion,,Rare,DEPLOY,DEPLOY: Destroy a minion with 3 or less Attack.,Executes the weak. Stands menacingly over the rest.,
28,Starfire Drake,5,5,4,Minion,Beast,Rare,"SWIFT, BARRIER",SWIFT. BARRIER.,Fast dragon. Shielded dragon. YOUR dragon.,
29,Arcane Golem,5,4,6,Minion,Mech,Rare,RESONATE,RESONATE: Gain +2/+2.,Gets HUGE in spell decks. Stays huge everywhere.,
