id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
neutral_stellar_scout,Stellar Scout,Neutral,Minion,,Common,1,1,3,"Double Strike, Deploy",Draw a card,Reports for duty. And a free card.,True,CORE,
neutral_stardust_mite,Stardust Mite,Neutral,Minion,,Common,1,1,2,Deploy,Deal 1 damage to a random enemy,Tiny. Forgettable. Surprisingly useful when dead.,True,CORE,
neutral_nebula_runner,Nebula Runner,Neutral,Minion,,Common,1,2,2,Drain,SWIFT,First one in. First one down. Worth it.,True,CORE,
neutral_shield_bearer,Shield Bearer,Neutral,Minion,,Common,1,0,5,Drain,GUARDIAN,Hits nothing. Blocks everything.,True,CORE,
neutral_astral_hatchling,Astral Hatchling,Neutral,Minion,Elemental,Common,1,1,2,Barrier,Draw a card,Born shielded. Not born smart.,True,CORE,
neutral_salvage_rat,Salvage Rat,Neutral,Minion,Beast,Common,1,1,2,"Cloak, Deploy",(Draw a card.),Lives cheap. Dies useful.,True,CORE,
neutral_nimble_pickpocket,Nimble Pickpocket,Neutral,Minion,,Common,1,1,3,Deploy,"Whenever this deals damage to the enemy Hero, draw a card",Light fingers. Heavy card advantage.,True,CORE,
neutral_volatile_spark,Volatile Spark,Neutral,Minion,Elemental,Common,1,2,2,Deploy,Deal 1 damage to a random enemy,Sparks fly. Somebody cries.,True,CORE,
neutral_galactic_wanderer,Galactic Wanderer,Neutral,Minion,,Common,1,1,3,,.,Just passing through. On every board. In every game.,True,CORE,
neutral_void_chick,Void Chick,Neutral,Minion,,Common,1,1,2,Guardian,Deal 1 damage to a random enemy,Peep! (Translation: I see one card in your future.),True,CORE,
neutral_plasma_pup,Plasma Pup,Neutral,Minion,Beast,Common,1,1,2,Deploy,Deal 1 damage to a random enemy,Gets angrier every turn. Was born angry.,True,CORE,
neutral_cosmic_recruit,Cosmic Recruit,Neutral,Minion,,Common,1,1,4,,.,Fresh recruit. Maximum health. Zero experience.,True,CORE,
