#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Stargazer Initiate,1,1,3,Minion,,Common,SCRY (2),"SCRY (2). (Look at the top 2 cards of your deck, rearrange in any order.)",Sees the future. Rearranges it. Only slightly.,
2,Cosmic Insight,1,,,Spell,,Common,,Draw a card. SCRY (2).,One card now. Two cards arranged for later. Patience rewarded.,
3,Nova Wisp,1,1,1,Minion,Elemental,Common,,DEPLOY: Draw a card.,Small. Bright. Comes with a free card.,
4,Stellar Compass,1,,,Spell,,Common,,SCRY (3). Draw a card.,Shows the way. Also shows the next three ways.,
5,Astral Moth,1,2,1,Minion,Elemental,Common,LAST WORDS,LAST WORDS: SCRY (2).,"Dies. Shows you the future. Thanks, moth.",
6,Constellation Mapper,2,2,3,Minion,,Common,DEPLOY,"DEPLOY: SCRY (3). If the top card is a spell, draw it.",Maps stars. Finds spells. Never asks for directions.,
7,Celestial Scribe,2,1,3,Minion,,Common,LAST WORDS,"Whenever you draw a card outside your normal draw, gain +1/+1. LAST WORDS: Draw a card.",Takes notes. Gets HUGE. Leaves one final note behind.,
8,Star Chart,2,,,Spell,,Common,,Draw 2 cards.,Two cards. No strings. No tricks. Just VALUE.,
9,Nebula Sprite,2,2,2,Minion,Elemental,Common,DEPLOY,DEPLOY: SCRY (2). Draw a card if you put a minion on top.,Finds your friends. Puts them on top of the deck. Literally.,
10,Meteor Shower,2,,,Spell,,Common,,Deal 1 damage to 3 random enemies. SCRY (1).,Three rocks. Three problems. One peek at the future.,
11,Astral Navigator,3,3,3,Minion,,Common,SCRY (3),SCRY (3).,Knows exactly what's coming. Still acts surprised.,
12,Prophecy Keeper,3,2,4,Minion,,Common,,"Whenever you SCRY, draw the top card if it costs 3 or less.",Predicts cheap cards. Draws cheap cards. Living coupon.,
13,Supernova Shard,3,,,Spell,,Common,,"Deal 3 damage. SCRY (2). If the top card is a spell, deal 3 more damage.",Peek. Boom. Maybe double boom.,
