#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Timekeeper Initiate,1,1,2,Minion,,Common,ECHO,ECHO. (Can be played twice in one turn.),First time's the charm. Second time's the backup charm.,
2,Temporal Bolt,1,,,Spell,,Common,ECHO,ECHO. Deal 1 damage.,Zap. Zap again. Temporal efficiency.,
3,Rewind Sprite,1,2,1,Minion,,Common,DEPLOY,DEPLOY: Return a friendly minion to your hand. It costs (1) less.,Takes it back. Literally.,
4,Temporal Patch,1,,,Spell,,Common,,Return a friendly minion to your hand. It costs (2) less. Draw a card.,Undo. But CHEAPER undo.,
5,Clockwork Sparrow,1,1,1,Minion,Mech,Common,ECHO,ECHO. SWIFT.,Tick. Attack. Tock. Attack. Done.,
6,Timeline Splitter,2,2,2,Minion,,Common,ECHO,ECHO.,Play it once. Play it twice. Time is generous.,
7,Second Chance,2,,,Spell,,Common,,Return a friendly minion that died this turn to play with 1 Health.,Death? In THIS timeline? Denied.,
8,Chronosnare,2,,,Spell,,Common,,Freeze an enemy minion for 2 turns. (It can't attack.),Trapped in time. No parole.,
9,Paradox Walker,2,2,2,Minion,,Common,LAST WORDS,DEPLOY: The next card you play this turn costs (1) less. LAST WORDS: Return a random friendly minion to your hand. It costs (1) less.,Walks between moments. Even death can't stop the loop.,
10,Fast Forward,2,,,Spell,,Common,,Give a friendly minion +2 Attack and remove summoning sickness.,Skip to the good part. The HITTING part.,
11,Time Elemental,3,3,3,Minion,Elemental,Common,ECHO,ECHO.,Exists twice. In the same moment. Rude.,
12,Chrono Guard,3,2,4,Minion,,Common,"GUARDIAN, ECHO",GUARDIAN. ECHO.,One wall. Then ANOTHER wall. Same wall. Twice.,
13,Temporal Slash,3,,,Spell,,Common,ECHO,ECHO. Deal 2 damage.,Cut once. Cut twice. Same spell. Double the ouch.,
14,Rewrite History,3,,,Spell,,Common,,Return ALL friendly minions to your hand. They cost (1) less. Draw a card.,Undo everything. Redo it BETTER.,
15,Aging Curse,3,,,Spell,,Common,,Give an enemy minion -2/-2.,A thousand years in one second. Not the fun kind.,
16,Moment Thief,3,3,2,Minion,,Common,"SWIFT, DEPLOY",SWIFT. DEPLOY: Freeze a random enemy minion.,Steals your moment. Also your next turn.,
17,Temporal Enforcer,4,4,4,Minion,,Common,ECHO,ECHO.,A 4/4. Then ANOTHER 4/4. On the same turn. Rude? Yes. Effective? VERY.,
18,Time Warp Bolt,4,,,Spell,,Common,ECHO,ECHO. Deal 3 damage.,Three damage now. Three damage again. Six total. Time is efficient.,
19,Déjà Vu,4,,,Spell,,Common,,Copy the last card you played this turn. It costs (0).,Didn't I just see this card? Yes. You did. And you'll love it AGAIN.,
20,Chronosmith,4,3,4,Minion,,Common,,"Whenever you play an ECHO card, gain +2/+1.",Echoes make it stronger. Double echoes make it TERRIFYING.,
21,Temporal Juggernaut,5,5,5,Minion,,Common,ECHO,ECHO.,Five mana. 5/5. Then ANOTHER 5/5. Ten mana well spent.,
22,Sands of Time,5,,,Spell,,Common,,Freeze all enemy minions. Draw a card for each frozen minion.,Time stops for them. Cards flow for you.,
23,Loop Agent,5,4,3,Minion,,Common,DEPLOY,DEPLOY: Return a friendly minion to your hand. Replay it immediately for (0).,Picks it up. Puts it back. DEPLOY triggers again.,
24,Temporal Rift,5,,,Spell,,Common,,Return all enemy minions to your opponent's hand. They cost (2) more.,Go back where you came from. And pay more rent.,
25,Epoch Knight,6,6,6,Minion,,Common,"ECHO, SWIFT",ECHO. SWIFT.,Two 6/6s with SWIFT on turn 10. That's the kind of timeline we want.,
26,Time Collapse,6,,,Spell,,Common,,Return ALL minions to their owners' hands. Your cards cost (2) less next turn.,Board reset. But YOU get a head start on rebuilding.,
27,Chronos Titan,7,7,7,Minion,,Common,"ECHO, DEPLOY",ECHO. DEPLOY: Your ECHO cards cost (2) less this turn.,Plays itself. Discounts echoes. Plays THOSE. It's a TIME PARTY.,
28,Eternity Storm,7,,,Spell,,Common,,Deal 5 damage to all enemies. Cast this again at the start of your next turn.,Happens now. Happens AGAIN next turn. No escape from time.,
29,Hourglass,2,,,Structure,,Common,,Your ECHO cards cost (1) less.,Tick tock. Tick DISCOUNT.,
30,Temporal Echo,2,2,1,Minion,,Common,"ECHO, LAST WORDS",ECHO. LAST WORDS: Add a copy of this to your hand.,Dies. Comes back. Play it again. Dies. Comes back. FOREVER.,
31,Time Loop,3,,,Spell,,Rare,,Copy the last spell you cast this turn. It costs (0) and has ECHO.,Your best spell. Free. Twice. Three times if you count the original.,
32,Chronomancer,4,3,5,Minion,,Rare,,Your ECHO cards can be played 3 times instead of 2.,Once is nice. Twice is fun. THRICE is CHRONOMANCY.,
33,Temporal Ambush,3,,,Spell,,Rare,ECHO,ECHO. Summon a 3/2 Time Assassin with SWIFT.,Assassin from the future. Then ANOTHER assassin from the future.,
34,Clockwork Tower,4,,,Structure,,Rare,,End of Turn: Return a random friendly minion to your hand. It costs (2) less and gains +1/+1.,Goes home. Gets cheaper. Gets bigger. Comes back. Repeat.,
35,Paradox Engine,5,3,5,Minion,Mech,Rare,,"Whenever you play an ECHO card, summon a 2/2 Temporal Clone.",Echoes make clones. Clones make echoes. Nobody knows which is the original.,
36,Reverse Polarity,4,,,Spell,,Rare,,Swap the Attack and Health of all minions on the board.,Your 1/8? Now an 8/1. Their 8/1? Now a 1/8. Time is WILD.,
37,Temporal Duelist,5,5,4,Minion,,Rare,"ECHO, SWIFT",ECHO. SWIFT.,Two 5/4s with SWIFT. On one turn. Opponent's face: priceless.,
38,Groundhog Day,4,,,Spell,,Rare,,Replay all DEPLOY effects of friendly minions on the board.,Every minion re-enters the battlefield. Their DEPLOY effects? All. Over. Again.,
39,Temporal Feedback,5,,,Spell,,Rare,,Deal damage to an enemy minion equal to its cost. ECHO.,Costs a lot? Dies a lot. Twice.,
40,Infinity Loop,3,2,3,Minion,,Rare,ECHO,ECHO. DEPLOY: The next ECHO card you play this turn costs (0).,Echoes chain into free echoes. Free echoes chain into VICTORY.,
41,Epoch Recall,6,,,Spell,,Rare,,Return all friendly minions that died this game to your hand. They cost (2) less.,Every fallen ally. Back in hand. Cheaper. Angrier.,
42,Time Heist,5,,,Spell,,Rare,,Take an extra turn after this one. You only draw 1 card and start with 3 less Crystals.,EXTRA TURN. But on a budget.,
43,Recursive Sentry,4,3,4,Minion,,Rare,GUARDIAN,GUARDIAN. LAST WORDS: Return this to your hand. It costs (1) less. (Can trigger 3 times.),Keeps coming back. Keeps getting cheaper. Keeps BLOCKING.,
44,Temporal Overcharge,6,,,Spell,,Rare,,All cards you play this turn have ECHO.,EVERYTHING plays twice. EVERYTHING. Even THIS.,
45,Chrono Vault,5,,,Structure,,Rare,,"Whenever a card returns to your hand, it costs (1) less and gains +1/+1.",Bounce house of infinite value. Everything gets better.,
46,TIMESHAPER'S MASTERPIECE,8,7,7,Minion,,Epic,"ECHO, DEPLOY",ECHO. DEPLOY: All cards in your hand gain ECHO. ECHO cards cost (2) less this turn.,Every card. Echoes. EVERY. CARD.,"STARFORGE — After playing 20 ECHO cards: Transform into THE PARADOX INCARNATE — 12/12, ECHO. DEPLOY: ALL cards you play for the rest of the game have ECHO and cost (1) less. ECHO cards gain +2/+2 on replay."
47,Time Stop,9,,,Spell,,Epic,,Take an extra turn after this one.,No discount. No drawback. Just... another turn. ALL of it.,
48,Recursion Matrix,7,4,6,Minion,,Epic,,"Whenever a friendly minion is returned to your hand, summon a 3/3 Temporal Copy of it on the board.",Bounce a minion. Keep a copy. The original is in your hand AND on the board.,
49,TIMESHAPER CHRONUS,9,6,8,Minion,,Legendary,DEPLOY,"DEPLOY: For the rest of the game, ALL your cards have ECHO. Your ECHO cards cost (1) less. Whenever you play an ECHO card, gain +1 Crystal this turn.",He doesn't bend time. He BROKE time. And he's NOT sorry.,"STARFORGE — After playing 30 ECHO cards: Transform into CHRONUS, LORD OF TIME — 10/10. ALL cards have ECHO and cost (2) less. ECHO replays cost (0). At start of turn, gain 2 extra Crystals. Take an extra turn every 3rd turn."
50,THE ETERNITY ENGINE,8,0,15,Minion,Mech,Legendary,,Can't attack. End of Turn: Return ALL friendly minions to your hand. They cost (3) less and gain +2/+2. Start of Turn: Play all cards in your hand that cost (0) or less.,Everything leaves. Everything comes back. Everything is STRONGER. Every. Single. Turn.,
