ID,Name,Cost,Type,Race,Rarity,Attack,Health,Tribe,Keywords,Card Text,Flavor Text,Collectible,Set,Has Starforge,Starforge Text
cog_m1,Sparktinkerer,1,MINION,COGSMITHS,COMMON,1,2,MECH,LAST_WORDS,LAST WORDS: Deal 1 damage to a random enemy.,Built it in a cave! With a box of asteroid scraps!,true,CORE,NO,
cog_m2,Blast Beetle,1,MINION,COGSMITHS,COMMON,2,1,MECH,LAST_WORDS,LAST WORDS: Deal 1 damage to a random enemy.,It\,true,CORE,NO,
cog_m3,Fuse Lighter,1,MINION,COGSMITHS,COMMON,1,1,,DEPLOY; LAST_WORDS,DEPLOY: Give a friendly Mech LAST WORDS: Deal 2 damage to a random enemy.,She doesn\,true,CORE,NO,
cog_s1,Cobalt Capacitor,1,SPELL,COGSMITHS,COMMON,,,,,"Deal 2 damage. If the target dies, deal 2 damage to a random enemy.",Step 1: Charge it. Step 2: Throw it. Step 3: There is no Step 3. You\,true,CORE,NO,
cog_s2,Scrap Grenade,1,SPELL,COGSMITHS,COMMON,,,,,Deal 1 damage to all enemy minions.,Gnomish recycling: turn yesterday\,true,CORE,NO,
cog_m4,Boom Cog,2,MINION,COGSMITHS,COMMON,2,2,MECH,LAST_WORDS,LAST WORDS: Deal 2 damage to a random enemy.,Tick. Tick. Tick. Tick. SURPRISE! ...Why is nobody ever surprised?,true,CORE,NO,
cog_m5,Tinker\,2,MINION,COGSMITHS,COMMON,2,3,MECH,LAST_WORDS,LAST WORDS: Add a random 1-cost Mech to your hand.,"Fetch me the 9/16ths cosmic wrench! No, the OTHER 9/16ths cosmic wrench! The one that\",true,CORE,NO,
cog_m6,Nebula Welder,2,MINION,COGSMITHS,COMMON,1,4,MECH,GUARDIAN,GUARDIAN. End of Turn: Deal 1 damage to a random enemy.,Welds hulls with star-stuff. Three OSHA violations per spark. Worth it.,true,CORE,NO,
cog_s3,Volatile Payload,2,SPELL,COGSMITHS,COMMON,,,,LAST_WORDS,Give a friendly minion LAST WORDS: Deal 3 damage to a random enemy.,"Careful, it\",true,CORE,NO,
cog_s4,Assembly Line,2,SPELL,COGSMITHS,COMMON,,,,LAST_WORDS,Summon two 1/1 Spark-Bots with LAST WORDS: Deal 1 damage to a random enemy.,Two for the price of two. Both explode free of charge! Volume discounts on volume explosions!,true,CORE,NO,
cog_m7,Galactic Sapper,3,MINION,COGSMITHS,COMMON,3,2,MECH,LAST_WORDS,LAST WORDS: Deal 2 damage to two random enemies.,"Plants demolition charges on planets. Yes, WHOLE planets. The paperwork is surprisingly short.",true,CORE,NO,
cog_m8,Cogwork Detonator,3,MINION,COGSMITHS,COMMON,2,4,MECH,LAST_WORDS,LAST WORDS: Deal damage equal to this minion\,Gnomish engineering rule #1: the bigger they build \,true,CORE,NO,
cog_m9,Wrench Gnome,3,MINION,COGSMITHS,COMMON,2,3,,DEPLOY,DEPLOY: Give a friendly Mech +2 Attack.,Percussive maintenance is a 400-year gnomish tradition. You hit it till it works or catches fire.,true,CORE,NO,
cog_s5,Plasma Cutter,3,SPELL,COGSMITHS,COMMON,,,,,"Deal 4 damage. If the target is a Mech, deal 6 instead.",Cuts through hull plating like cosmic butter. Don\,true,CORE,NO,
cog_s6,Containment Breach,3,SPELL,COGSMITHS,COMMON,,,,,Destroy a friendly Mech. Trigger its LAST WORDS twice.,Safety Protocol 7: There IS no Safety Protocol 7. That\,true,CORE,NO,
cog_m10,Salvage Crawler,3,MINION,COGSMITHS,COMMON,3,3,MECH,SALVAGE; LAST_WORDS,SALVAGE. (LAST WORDS: Draw a card.),One gnome\,true,CORE,NO,
cog_m11,Gyro Sentinel,3,MINION,COGSMITHS,COMMON,3,4,MECH,BARRIER,BARRIER.,"Spins at 40,000 RPM. Deflects lasers, plasma bolts, AND constructive criticism.",true,CORE,NO,
cog_m12,Rocket Rat,3,MINION,COGSMITHS,COMMON,4,2,MECH,SWIFT; LAST_WORDS,SWIFT. LAST WORDS: Deal 1 damage to a random enemy.,It\,true,CORE,NO,
cog_m13,Star-Smelter,4,MINION,COGSMITHS,COMMON,3,5,MECH,LAST_WORDS,LAST WORDS: Deal 3 damage split randomly among all enemies.,Forged IN a star. Explodes LIKE a star. The gnomes consider this peak engineering.,true,CORE,NO,
cog_m14,Turret Deployer,4,MINION,COGSMITHS,COMMON,3,4,,DEPLOY; LAST_WORDS,DEPLOY: Summon a 2/2 Boom Turret with LAST WORDS: Deal 2 damage to a random enemy.,Some assembly required. Disassembly is automatic. Usually involuntary.,true,CORE,NO,
cog_s7,Power Core,4,SPELL,COGSMITHS,COMMON,,,,,"Draw 2 cards. If you control a Mech, draw 3 instead.",It\,true,CORE,NO,
cog_s8,Overcharge,3,SPELL,COGSMITHS,COMMON,,,,SWIFT,"Give a Mech +3 Attack and SWIFT this turn. When it dies this turn, trigger its LAST WORDS twice.",MAXIMUM POWER! MAXIMUM LIABILITY! MAXIMUM FUN! ...Minimum survivors.,true,CORE,NO,
cog_m15,Iron Rampart,4,MINION,COGSMITHS,COMMON,2,7,MECH,GUARDIAN; UPGRADE,GUARDIAN. UPGRADE (2): Gain +3/+3.,They shall not pass. Mostly because it\,true,CORE,NO,
cog_m16,Chrome Charger,5,MINION,COGSMITHS,COMMON,5,4,MECH,BLITZ; LAST_WORDS,BLITZ. LAST WORDS: Deal 2 damage to a random enemy.,Zero to lightspeed in zero seconds. Stopping takes... significantly longer.,true,CORE,NO,
cog_m17,Cranky Mechanic,5,MINION,COGSMITHS,COMMON,4,5,,DEPLOY; LAST_WORDS,DEPLOY: Give all friendly Mechs LAST WORDS: Deal 1 damage to a random enemy.,Touch my wrench and I\,true,CORE,NO,
cog_m18,Furnace Golem,5,MINION,COGSMITHS,COMMON,5,4,MECH,UPGRADE,UPGRADE (2): Gain BARRIER and +2/+2.,Runs on compressed starfire. Handle with care. Or don\,true,CORE,NO,
cog_s9,Munitions Stockpile,5,SPELL,COGSMITHS,COMMON,,,,,Deal 2 damage to all enemy minions. Deal 1 more for each friendly minion with LAST WORDS.,Inventory: full. Safety inspector: still missing. Morale: through the roof. (The roof is also missing.),true,CORE,NO,
cog_s10,Exhaust Cannon,6,SPELL,COGSMITHS,COMMON,,,,,Deal 4 damage to all enemies. Deal 2 more for each Mech you control.,Fire EVERYTHING. Then fire the things that fire everything. Then fire the guy who didn\,true,CORE,NO,
cog_m19,Bronze Colossus,6,MINION,COGSMITHS,COMMON,5,7,MECH,GUARDIAN; UPGRADE,GUARDIAN. UPGRADE (3): Gain DOUBLE STRIKE.,Big. Bronze. Stuffed with enough ordnance to crack a moon. Beautiful.,true,CORE,NO,
cog_m20,War Machine,7,MINION,COGSMITHS,COMMON,7,6,MECH,SWIFT; LAST_WORDS,SWIFT. LAST WORDS: Deal 4 damage to all enemies.,Diplomacy was never an option. Neither was \,true,CORE,NO,
cog_m21,Detonation Specialist,3,MINION,COGSMITHS,RARE,2,4,,,Your LAST WORDS effects deal 2 more damage.,PhD in Applied Explosions from the Galactic Institute of Kaboom. Minor in Running Away.,true,CORE,NO,
cog_m22,Gear Master,4,MINION,COGSMITHS,RARE,3,5,,,Your Mechs cost (1) less and have +1 Attack.,He doesn\,true,CORE,NO,
cog_st1,Chain Reaction Module,4,STRUCTURE,COGSMITHS,RARE,,,,,Whenever a friendly minion\,Action → Reaction → Catastrophe → Invoice.,true,CORE,NO,
cog_st2,Reclamation Bay,3,STRUCTURE,COGSMITHS,RARE,,,,,"Whenever a friendly Mech dies, add a copy of it to your hand. It costs (1) more.",Nothing stays dead on Mechronis. It just gets a higher price tag and a fresh coat of soot.,true,CORE,NO,
cog_s11,Chromatic Alloy,2,SPELL,COGSMITHS,RARE,,,,,Give a Mech +1/+1 for each other Mech you control.,Strength in numbers. Explosions in BIGGER numbers.,true,CORE,NO,
cog_s12,Emergency Protocol,4,SPELL,COGSMITHS,RARE,,,,BARRIER,Give all friendly Mechs BARRIER and +2 Health.,"SHIELDS UP! Oh wait, those are bombs. BOMBS UP! Wait, that\",true,CORE,NO,
cog_m23,Overclocked Engine,5,MINION,COGSMITHS,RARE,4,6,MECH,DOUBLE_STRIKE; UPGRADE,DOUBLE STRIKE. UPGRADE (3): Gain +3 Attack.,The warranty voided itself. Out of fear. The warranty ITSELF was afraid.,true,CORE,NO,
cog_st3,Tesla Coil,5,STRUCTURE,COGSMITHS,RARE,,,,,End of Turn: Deal 2 damage to a random enemy for each Mech you control.,Zap. ZAP. ZAP ZAP ZAP. The gnomes left the dial at \,true,CORE,NO,
cog_m24,Salvage Operative,4,MINION,COGSMITHS,RARE,3,3,MECH,SALVAGE; LAST_WORDS,SALVAGE. LAST WORDS: Summon a 3/3 Boom-Bot with LAST WORDS: Deal 3 damage to a random enemy.,"Dies, draws, deploys, detonates. The gnomish circle of life.",true,CORE,NO,
cog_s13,Galvanize,6,SPELL,COGSMITHS,RARE,,,,SWIFT,Give all friendly Mechs +3/+3 and SWIFT.,LET\,true,CORE,NO,
cog_m25,Titan Assembler,6,MINION,COGSMITHS,RARE,5,5,,DEPLOY,DEPLOY: Summon a copy of a random friendly Mech.,"CTRL+C, CTRL+V, CTRL+KABOOM. Standard gnomish keyboard shortcut.",true,CORE,NO,
cog_s14,Disassemble,5,SPELL,COGSMITHS,RARE,,,,,"Destroy a minion. If it was a Mech, trigger all friendly LAST WORDS effects.",Deconstructive criticism. Heavy emphasis on the \,true,CORE,NO,
cog_s15,Neutron Bomb,7,SPELL,COGSMITHS,RARE,,,,,Destroy ALL minions. Trigger all friendly LAST WORDS effects.,"When in doubt, nuke from orbit. Gnomish proverb. Also gnomish Tuesday.",true,CORE,NO,
