#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Stellar Scout,1,1,2,Minion,,Common,DEPLOY,DEPLOY: Draw a card.,Reports for duty. And a free card.,
2,Stardust Mite,1,1,1,Minion,,Common,,LAST WORDS: Add a random 1-cost minion to your hand.,Tiny. Forgettable. Surprisingly useful when dead.,
3,Nebula Runner,1,2,1,Minion,,Common,SWIFT,SWIFT.,First one in. First one down. Worth it.,
4,Shield Bearer,1,0,4,Minion,,Common,GUARDIAN,GUARDIAN.,Hits nothing. Blocks everything.,
5,Astral Hatchling,1,1,1,Minion,Elemental,Common,BARRIER,BARRIER.,Born shielded. Not born smart.,
6,Salvage Rat,1,1,1,Minion,Beast,Common,SALVAGE,SALVAGE. (LAST WORDS: Draw a card.),Lives cheap. Dies useful.,
7,Nimble Pickpocket,1,1,2,Minion,,Common,,"Whenever this deals damage to the enemy Hero, draw a card.",Light fingers. Heavy card advantage.,
8,Volatile Spark,1,2,1,Minion,Elemental,Common,,LAST WORDS: Deal 1 damage to a random enemy.,Sparks fly. Somebody cries.,
9,Galactic Wanderer,1,1,2,Minion,,Common,,,Just passing through. On every board. In every game.,
10,Void Chick,1,1,1,Minion,,Common,DEPLOY,DEPLOY: SCRY (1).,Peep! (Translation: I see one card in your future.),
11,Plasma Pup,1,1,1,Minion,Beast,Common,,End of Turn: Gain +1 Attack.,Gets angrier every turn. Was born angry.,
12,Cosmic Recruit,1,1,3,Minion,,Common,,,Fresh recruit. Maximum health. Zero experience.,
13,Starport Mechanic,2,2,3,Minion,,Common,DEPLOY,DEPLOY: Give a friendly Mech +1/+1.,Fixes Mechs. Fixes everything. Would fix you if you held still.,
14,Cosmic Courier,2,2,2,Minion,,Common,DEPLOY,DEPLOY: Draw a card.,Special delivery! Contents: one card.,
15,Gravedigger,2,2,3,Minion,,Common,,DEPLOY: Add a random minion that died this game to your hand.,Digs up the dead. They don't mind. Probably.,
16,Frontier Guard,2,2,3,Minion,,Common,GUARDIAN,GUARDIAN.,Stands here. Blocks things. Doesn't ask questions.,
