id,name,faction,type,tribe,rarity,cost,attack,health,keywords,cardText,flavorText,collectible,set,artPrompt
lum_m1,Luminar Acolyte,Luminar,Minion,,Common,1,1,3,ILLUMINATE,ILLUMINATE: Gain +1 Attack.,Prays for strength. Gets it. Immediately. Luminar customer service is INSTANT. Zero wait time. Infinite light.,True,CORE,
lum_m2,Sunbeam Sprite,Luminar,Minion,Elemental,Common,1,1,2,ILLUMINATE,ILLUMINATE: Draw a card.,"It's not a firefly. It's a LIGHT fly. Every time the Luminar heal, it hands you a free card. Most productive insect in the galaxy.",True,CORE,
lum_m3,Glowing Moth,Luminar,Minion,Elemental,Common,1,1,1,"BARRIER, ILLUMINATE",BARRIER. ILLUMINATE: Gain +2/+2.,Drawn to the light. IS the light. Heal once and it's a 3/3 with BARRIER. Heal twice and it's a 5/5. The moth is ASCENDING.,True,CORE,
lum_s1,Luminar Blessing,Luminar,Spell,,Common,1,,,,Give a minion +1/+2. Restore 1 Health to your Hero.,"A tiny prayer. A tiny heal. But the heal triggers ILLUMINATE across your ENTIRE board. Tiny prayer, ENORMOUS consequences.",True,CORE,
lum_s2,Radiant Shield,Luminar,Spell,,Common,1,,,,Give a minion +0/+3 and BARRIER. Restore 1 Health to your Hero.,Shield up. Health up. ILLUMINATE fires everywhere. One mana does three jobs. Luminar efficiency at its finest.,True,CORE,
lum_m4,Dawn Priest,Luminar,Minion,,Common,2,2,3,DEPLOY,DEPLOY: Restore 3 Health to your Hero.,Rise and shine! Three health restored. Every ILLUMINATE on your board triggers. She's the Luminar's alarm clock and the alarm is BUFFS.,True,CORE,
lum_m5,Luminar Cleric,Luminar,Minion,,Common,2,2,2,DEPLOY,DEPLOY: Restore 2 Health to all friendly minions.,"Group therapy, Luminar style. Heals everyone. Triggers every ILLUMINATE on the board simultaneously. She's a walking sunrise.",True,CORE,
lum_m6,Pilgrim of Light,Luminar,Minion,,Common,2,1,4,,"Whenever your Hero is healed, gain +1/+1.","Every heal makes him bigger. Permanently. Drop him Turn 2, heal three times, he's a 4/7 by Turn 5. The pilgrimage makes him SWOLE.",True,CORE,
lum_s3,Sanctify,Luminar,Spell,,Common,2,,,,Restore 3 Health to a minion. Give it +1/+1.,"Blessed AND buff. The Luminar workout plan: pray, heal, get jacked. Repeat until enormous.",True,CORE,
lum_s4,Blessed Arrow,Luminar,Spell,,Common,2,,,,"Deal 2 damage. If your Hero is at full Health, deal 4 instead.",The Luminar reward for staying healthy: hitting TWICE as hard. Full health isn't passive. It's a WEAPON.,True,CORE,
lum_m7,Lightsworn Guardian,Luminar,Minion,,Common,3,2,5,"GUARDIAN, ILLUMINATE",GUARDIAN. ILLUMINATE: Gain +1/+1.,Every heal pumps him. By Turn 6 he's a 5/8 GUARDIAN that got there through pure divine cardio. The wall hits the gym.,True,CORE,
lum_m8,Penitent Monk,Luminar,Minion,,Common,3,3,3,DRAIN,DRAIN. (Heals your Hero for damage dealt.),He punches you AND feels better about it. Three damage dealt. Three health restored. ILLUMINATE triggers. Violence IS self-care.,True,CORE,
lum_m9,Beacon of Hope,Luminar,Minion,,Common,3,2,4,,End of Turn: Restore 2 Health to your Hero. Trigger all friendly ILLUMINATE effects.,Always on. Never dims. GUARANTEED ILLUMINATE every single turn. The beacon doesn't ask permission. It just SHINES.,True,CORE,
lum_s5,Purifying Light,Luminar,Spell,,Common,3,,,,Restore 4 Health to your Hero. Draw a card.,Cleanses the body. Enlightens the mind. Four health AND a card. Plus every ILLUMINATE on your board fires. Sunrise in a bottle.,True,CORE,
lum_s6,Sunforged Blade,Luminar,Spell,,Common,3,,,,Give a minion +3 Attack and DRAIN this turn.,Forged in starfire. The DRAIN heals you. The heal triggers ILLUMINATE. One buff cascades into EVERYTHING.,True,CORE,
lum_m10,Halo Sentinel,Luminar,Minion,,Common,3,3,5,BARRIER,BARRIER.,The halo isn't decorative. It's STRUCTURAL. 3/5 with BARRIER means it eats two hits minimum. The Luminar build to LAST.,True,CORE,
lum_m11,Daybreak Charger,Luminar,Minion,,Common,4,4,3,"SWIFT, ILLUMINATE",SWIFT. ILLUMINATE: Gain +1 Health and DRAIN.,Charges at dawn. Noon. Dusk. Whenever. SWIFT lets it hit immediately. ILLUMINATE gives DRAIN. So hitting HEALS you. So the cycle NEVER stops.,True,CORE,
lum_m12,Radiance Weaver,Luminar,Minion,,Common,4,3,4,,"After you cast a healing spell, summon a 2/2 Light Elemental with ILLUMINATE: Gain +1/+1.",Knits soldiers out of sunlight. Every healing spell spawns a minion. Every minion has ILLUMINATE. The army builds ITSELF.,True,CORE,
lum_s7,Solar Flare,Luminar,Spell,,Common,4,,,,Deal 3 damage to all enemy minions. Restore 1 Health to your Hero.,"SPF 10,000 recommended. AoE AND a heal. The heal triggers ILLUMINATE. Burning enemies and buffing allies in ONE card.",True,CORE,
lum_s8,Blinding Burst,Luminar,Spell,,Common,4,,,,Deal 2 damage to all enemies. Restore 2 Health to your Hero.,Flash photography is strictly mandatory. Two to everything they have. Two health back for you. All ILLUMINATE effects fire.,True,CORE,
lum_m13,Cathedral Guard,Luminar,Minion,,Common,5,4,6,"GUARDIAN, DRAIN",GUARDIAN. DRAIN.,No entry. No exceptions. DRAIN means every attack heals you. Heals trigger ILLUMINATE. The guard NEVER stops generating value.,True,CORE,
lum_m14,Luminar Templar,Luminar,Minion,,Common,5,5,5,ILLUMINATE,ILLUMINATE: Gain GUARDIAN and +0/+3.,One heal: 5/8 GUARDIAN. Two heals: 5/11 GUARDIAN. The light is his armor AND his growth hormone. Luminar templars only get THICKER.,True,CORE,
lum_s9,Consecrate,Luminar,Spell,,Common,5,,,,Restore 5 Health to your Hero. Give all friendly minions +1/+1.,Everything is blessed now. Five health back. Board-wide buff. Every ILLUMINATE fires. The Luminar don't do small miracles.,True,CORE,
lum_m15,Martyr's Gift,Luminar,Minion,,Common,5,3,6,LAST WORDS,LAST WORDS: Restore 5 Health to your Hero and trigger all friendly ILLUMINATE effects twice.,Her sacrifice is your salvation. Kill her and your hero heals AND every crystal on board lights up TWICE. Death is just her final sermon.,True,CORE,
lum_m16,Luminar Crusader,Luminar,Minion,,Common,6,6,6,"BARRIER, ILLUMINATE",BARRIER. ILLUMINATE: Gain +2/+2.,FOR THE LIGHT! And also cardio. A 6/6 with BARRIER that grows +2/+2 per heal. After two heals it's a 10/10 BARRIER you STILL haven't popped.,True,CORE,
lum_s10,Holy Nova,Luminar,Spell,,Common,6,,,,Deal 3 damage to all enemies. Restore 3 Health to all friendly characters.,BOOM. But a HOLY boom. Three to everything they have. Three back to everything YOU have. All ILLUMINATE triggers fire. Sacred symmetry.,True,CORE,
lum_m17,Sunlit Protector,Luminar,Minion,,Common,7,6,7,"GUARDIAN, BARRIER, ILLUMINATE",GUARDIAN. BARRIER. ILLUMINATE: Gain DOUBLE STRIKE.,Stands in the light. IS the light. One heal gives DOUBLE STRIKE. A 6/7 GUARDIAN BARRIER DOUBLE STRIKE is called 'unfair.' The Luminar call it 'Thursday.',True,CORE,
lum_s11,Dawn's Embrace,Luminar,Spell,,Common,7,,,,Fully restore your Hero's Health. Trigger all friendly ILLUMINATE effects twice.,A sunrise so powerful it heals EVERYTHING. Full health. Double ILLUMINATE across your entire board. The ultimate Luminar reset button.,True,CORE,
lum_m18,Luminous Wisp,Luminar,Minion,Elemental,Common,1,0,2,,End of Turn: Restore 1 Health to your Hero.,Smol. Bright. Useful. Free heal every turn means free ILLUMINATE trigger every turn. The 0/2 that powers your entire engine.,True,CORE,
lum_st1,Hallowed Ground,Luminar,Structure,,Common,3,,,,Your healing effects restore 2 additional Health. ILLUMINATE effects trigger an additional time.,Even the ground is holy. Every heal is bigger. Every ILLUMINATE fires twice. The Luminar sanctified the FLOOR.,True,CORE,
lum_m19,High Priestess of Light,Luminar,Minion,,Rare,4,3,5,,"Whenever you heal a character, give a random friendly minion +1/+1. If you healed to FULL, give +2/+2 instead.",She speaks for the light. The light says BUFF. Full-health heals get DOUBLE buffs. The Luminar reward you for being healthy AND staying healthy.,True,CORE,
lum_s12,Divine Intervention,Luminar,Spell,,Rare,5,,,,"Fully restore a minion's Health. Give it BARRIER, GUARDIAN, and +2/+2.",The light provides. And provides. Your wounded 3/1 is now a 5/full-health BARRIER GUARDIAN. Miraculous? That's what the Luminar DO.,True,CORE,
lum_m20,Radiant Aegis,Luminar,Minion,,Rare,3,2,6,"GUARDIAN, ILLUMINATE",GUARDIAN. ILLUMINATE: Gain BARRIER.,Every heal refreshes the shield. Kill BARRIER? Heal. It's back. Kill it AGAIN? Heal. Back AGAIN. The Aegis never stays naked.,True,CORE,
lum_s13,Luminar Judgment,Luminar,Spell,,Rare,7,,,,Deal damage to all enemies equal to the total Health you've restored this game. (Max 15.),The Luminar remember every kindness. And repay it VIOLENTLY. Healed 12 health across the game? TWELVE to the face of everything. The light keeps receipts.,True,CORE,
lum_m21,Lightbringer,Luminar,Minion,,Rare,5,4,4,,"Your healing spells cost (1) less. Whenever you cast a healing spell, restore 2 Health to your Hero.",Discount divinity. Every heal spell is cheaper AND heals your hero as a bonus. She makes the Luminar engine run FASTER.,True,CORE,
