#,Card Name,Cost,Atk,HP,Type,Subtype,Rarity,Keywords,Card Text,Flavor Text,STARFORGE
1,Temple Acolyte,1,1,3,Minion,,Common,ILLUMINATE,ILLUMINATE: Gain +1 Attack.,Prays for strength. Gets it.,
2,Sunbeam Sprite,1,1,2,Minion,Elemental,Common,ILLUMINATE,ILLUMINATE: Draw a card.,It's not a firefly. It's a LIGHT fly. Totally different.,
3,Glowing Moth,1,1,1,Minion,Elemental,Common,"BARRIER, ILLUMINATE",BARRIER. ILLUMINATE: Gain +2/+2.,Drawn to the light. IS the light.,
4,Angelic Wings,1,,,Spell,,Common,,Give a minion +1/+2.,Feathers not included. Holiness sold separately.,
5,Radiant Shield,1,,,Spell,,Common,,Give a minion +0/+3 and BARRIER.,Now with 100% more divine protection!,
6,Dawn Priest,2,2,3,Minion,,Common,DEPLOY,DEPLOY: Restore 2 Health to your Hero.,Rise and shine! Emphasis on SHINE.,
7,Sunstone Cleric,2,2,2,Minion,,Common,DEPLOY,DEPLOY: Restore 2 Health to all friendly minions.,"Group therapy, Solhaven style.",
8,Pilgrim of Sol,2,1,4,Minion,,Common,,"Whenever your Hero is healed, gain +1 Attack.",Every step brings him closer to the light. And to your face.,
9,Sanctify,2,,,Spell,,Common,,Restore 3 Health to a minion. Give it +1/+1.,Blessed AND buff.,
10,Blessed Arrow,2,,,Spell,,Common,,"Deal 2 damage. If your Hero is at full Health, deal 4 instead.",Aim for the darkness. Can't miss.,
11,Lightsworn Guardian,3,2,5,Minion,,Common,"GUARDIAN, ILLUMINATE",GUARDIAN. ILLUMINATE: Gain +1/+1.,Heals make him stronger. Hugs also work.,
12,Penitent Monk,3,3,3,Minion,,Common,DRAIN,DRAIN.,He punches you AND feels better about it.,
13,Beacon of Hope,3,2,4,Minion,,Common,,End of Turn: Restore 1 Health to all friendly characters.,Always on. Never dims. Great at parties.,
14,Purifying Light,3,,,Spell,,Common,,Restore 4 Health. Draw a card.,Cleanses the body. Enlightens the mind.,
15,Sunforged Blade,3,,,Spell,,Common,,Give a minion +3 Attack and DRAIN this turn.,Forged in starfire. Hurts in starfire.,
16,Halo Sentinel,4,3,4,Minion,,Common,"BARRIER, LAST WORDS",BARRIER. LAST WORDS: Give a random friendly minion BARRIER.,The halo isn't decorative. It's hereditary.,
17,Daybreak Charger,4,4,3,Minion,,Common,"SWIFT, ILLUMINATE",SWIFT. ILLUMINATE: Gain +1 Health and DRAIN.,Charges at dawn. And noon. And dusk.,
18,Radiance Weaver,4,3,4,Minion,,Common,,"After you cast a healing spell, summon a 2/2 Light Elemental.",Knits sweaters made of pure sunlight.,
19,Solar Flare,4,,,Spell,,Common,,Deal 3 damage to all enemy minions.,"SPF 10,000 recommended.",
20,Blinding Burst,4,,,Spell,,Common,,Deal 2 damage to all enemies. Restore 2 Health to your Hero.,Flash photography is strictly mandatory.,
21,Cathedral Guard,5,4,6,Minion,,Common,"GUARDIAN, DRAIN",GUARDIAN. DRAIN.,No entry. No exceptions. No survivors.,
22,Luminar Templar,5,5,5,Minion,,Common,ILLUMINATE,ILLUMINATE: Gain GUARDIAN and +0/+3.,"The light is his armor. Also, actual armor.",
23,Consecrate,5,,,Spell,,Common,,Restore 5 Health to your Hero. Give all friendly minions +1/+1.,"Everything is holy now. Yes, even the bugs.",
24,Martyr's Gift,5,3,6,Minion,,Common,LAST WORDS,LAST WORDS: Restore 5 Health to your Hero.,Her sacrifice is your salvation.,
25,Solhaven Crusader,6,6,6,Minion,,Common,"BARRIER, ILLUMINATE",BARRIER. ILLUMINATE: Gain +2/+2.,FOR THE LIGHT! (And also cardio.),
26,Holy Nova,6,,,Spell,,Common,,Deal 3 damage to all enemies. Restore 3 Health to all friendly characters.,"BOOM. But, like, a HOLY boom.",
27,Sunlit Protector,7,6,7,Minion,,Common,"GUARDIAN, BARRIER, ILLUMINATE",GUARDIAN. BARRIER. ILLUMINATE: Gain DOUBLE STRIKE.,Stands in the light. IS the light. FIGHTS with the light.,
28,Dawn's Embrace,7,,,Spell,,Common,,Fully restore your Hero's Health. Trigger all friendly ILLUMINATE effects.,A sunrise so powerful it heals EVERYTHING.,
29,Luminous Wisp,1,0,2,Minion,Elemental,Common,LAST WORDS,LAST WORDS: Restore 2 Health to your Hero.,Smol. Bright. Even useful when gone.,
30,Hallowed Ground,3,,,Structure,,Common,,Your healing effects restore 1 additional Health.,Even the dirt is holy here.,
31,High Priestess of Sol,4,3,5,Minion,,Rare,,"Whenever you heal a character, give a random friendly minion +1/+1.",She speaks for the sun. The sun says 'BUFF.',
32,Divine Intervention,5,,,Spell,,Rare,,Fully restore a minion's Health. Give it BARRIER and GUARDIAN.,The light provides. And provides. And provides.,
33,Radiant Aegis,3,2,6,Minion,,Rare,"GUARDIAN, ILLUMINATE",GUARDIAN. ILLUMINATE: Gain BARRIER.,Heals make it shinier. And harder to kill.,
34,Sol's Judgment,7,,,Spell,,Rare,,Deal damage to all enemies equal to the total Health you've healed this game. (Max 15.),The sun remembers every kindness. And repays it violently.,
35,Lightbringer,5,4,4,Minion,,Rare,,Your healing spells cost (1) less.,Discount divinity.,
36,Chalice of Renewal,4,,,Structure,,Rare,,Start of Turn: Restore 2 Health to your Hero.,Sip. Heal. Repeat. The holy happy hour.,
37,Empyreal Knight,6,5,6,Minion,,Rare,"BARRIER, DEPLOY",BARRIER. DEPLOY: Restore 3 Health to all friendly characters.,Arrives in style. Heals on impact.,
38,Absolution,3,,,Spell,,Rare,,Destroy a minion with 3 or less Attack. Restore Health equal to its Attack to your Hero.,Forgiven. Then deleted.,
39,Sunfire Phoenix,5,4,4,Minion,Elemental,Rare,"DRAIN, LAST WORDS",DRAIN. LAST WORDS: Restore 4 Health to your Hero.,"Burns bright, dies bright, heals bright.",
40,Celestial Choir,6,3,3,Minion,,Rare,DEPLOY,DEPLOY: Summon two 2/2 Light Elementals with ILLUMINATE: Gain +1/+1.,Three-part harmony. Four-part destruction.,
41,Resurrect,7,,,Spell,,Rare,,Summon a random friendly minion that died this game. Restore it to full Health. Give it BARRIER.,Back from the dead. And VERY well-rested.,
42,Beacon of Judgment,6,4,7,Minion,,Rare,GUARDIAN,"GUARDIAN. Whenever this minion is healed, deal 2 damage to a random enemy.",Heal me and watch them BURN.,
